order no,customer id,product id,payment id,DateID ,order Qty,order_type
106,305,678,1,8,3,CashOnDelivery
107,886,798,4,9,3,OnlinePayment
108,847,772,3,9,2,OnInstallment
109,974,571,4,9,4,CashOnDelivery
110,838,342,3,9,4,OnlinePayment
111,820,616,1,9,4,OnInstallment
112,242,889,1,9,1,CashOnDelivery
113,482,124,3,10,3,OnlinePayment
114,78,1152,1,10,1,OnInstallment
115,922,318,2,10,3,CashOnDelivery
116,884,929,2,10,1,OnlinePayment
117,399,430,2,10,4,OnInstallment
118,984,308,3,10,1,CashOnDelivery
119,747,287,2,10,2,OnlinePayment
120,618,1273,4,10,2,OnInstallment
121,661,94,3,10,5,CashOnDelivery
122,688,21,1,11,5,OnlinePayment
123,368,920,4,11,4,OnInstallment
124,833,1230,2,11,5,CashOnDelivery
125,954,1045,2,11,2,OnlinePayment
126,770,453,1,11,3,OnInstallment
127,985,628,4,11,2,CashOnDelivery
128,1,1314,3,11,5,OnlinePayment
129,473,213,1,11,4,OnInstallment
130,234,83,1,11,1,CashOnDelivery
131,106,1094,1,12,3,OnlinePayment
132,369,649,4,12,2,OnInstallment
133,266,850,1,12,2,CashOnDelivery
134,396,514,3,12,1,OnlinePayment
135,483,226,1,12,4,OnInstallment
136,666,837,3,12,4,CashOnDelivery
137,436,208,4,12,1,OnlinePayment
138,727,289,3,12,4,OnInstallment
139,893,352,4,12,2,CashOnDelivery
140,493,1114,1,12,1,OnlinePayment
141,135,653,3,12,5,OnInstallment
142,555,176,1,12,1,CashOnDelivery
143,592,505,3,12,3,OnlinePayment
144,837,1330,4,12,2,OnInstallment
145,475,811,4,12,3,CashOnDelivery
146,453,1092,4,12,5,OnlinePayment
147,368,1027,4,12,4,OnInstallment
148,657,870,4,12,2,CashOnDelivery
149,905,56,1,12,1,OnlinePayment
150,999,1143,3,12,5,OnInstallment
151,675,397,3,12,1,CashOnDelivery
152,458,145,1,12,4,OnlinePayment
153,441,621,1,12,4,OnInstallment
154,896,1404,3,12,4,CashOnDelivery
155,459,974,4,12,1,OnlinePayment
156,583,691,1,12,1,OnInstallment
157,603,1147,3,12,1,CashOnDelivery
158,202,1026,4,12,5,OnlinePayment
159,190,125,1,12,4,OnInstallment
160,572,783,2,12,5,CashOnDelivery
161,890,1137,4,12,2,OnlinePayment
162,256,694,3,12,4,OnInstallment
163,928,1456,4,12,2,CashOnDelivery
164,311,1437,3,12,3,OnlinePayment
165,217,597,3,12,5,OnInstallment
166,655,298,3,12,3,CashOnDelivery
167,920,435,4,12,4,OnlinePayment
168,677,544,1,12,4,OnInstallment
169,186,1499,2,12,1,CashOnDelivery
170,699,1380,1,12,4,OnlinePayment
171,476,716,4,12,5,OnInstallment
172,312,1156,2,12,3,CashOnDelivery
173,432,639,2,12,3,OnlinePayment
174,56,1184,3,12,3,OnInstallment
175,417,1473,4,12,5,CashOnDelivery
176,351,1268,3,12,3,OnlinePayment
177,547,125,2,12,5,OnInstallment
178,794,332,2,12,5,CashOnDelivery
179,833,1475,1,12,4,OnlinePayment
180,28,1280,3,12,2,OnInstallment
181,967,638,2,12,4,CashOnDelivery
182,99,929,3,12,2,OnlinePayment
183,790,12,1,12,2,OnInstallment
184,367,840,2,12,1,CashOnDelivery
185,275,478,1,12,5,OnlinePayment
186,279,651,3,12,2,OnInstallment
187,13,203,4,12,4,CashOnDelivery
188,863,1000,3,12,5,OnlinePayment
189,170,393,2,12,1,OnInstallment
190,576,72,2,12,5,CashOnDelivery
191,516,1254,2,12,2,OnlinePayment
192,326,329,2,12,2,OnInstallment
193,270,465,2,12,4,CashOnDelivery
194,390,1320,4,12,2,OnlinePayment
195,863,91,4,12,1,OnInstallment
196,683,583,3,12,1,CashOnDelivery
197,696,942,3,12,3,OnlinePayment
198,743,685,3,12,5,OnInstallment
199,751,522,2,12,5,CashOnDelivery
200,284,466,3,12,5,OnlinePayment
201,805,246,1,12,1,OnInstallment
202,550,1355,2,12,1,CashOnDelivery
203,353,1441,2,12,4,OnlinePayment
204,180,805,2,12,2,OnInstallment
205,26,209,2,12,3,CashOnDelivery
206,747,279,2,12,5,OnlinePayment
207,387,1392,3,12,3,OnInstallment
208,82,324,4,12,2,CashOnDelivery
209,465,880,1,12,5,OnlinePayment
210,427,651,3,12,2,OnInstallment
211,232,1324,3,12,5,CashOnDelivery
212,93,1155,3,12,4,OnlinePayment
213,266,843,2,12,1,OnInstallment
214,368,407,3,12,3,CashOnDelivery
215,252,652,3,12,5,OnlinePayment
216,600,843,1,12,2,OnInstallment
217,490,490,2,12,1,CashOnDelivery
218,786,1267,4,12,3,OnlinePayment
219,412,819,4,12,3,OnInstallment
220,981,1428,3,12,2,CashOnDelivery
221,556,930,2,12,1,OnlinePayment
222,280,1450,1,12,2,OnInstallment
223,697,2,1,12,2,CashOnDelivery
224,197,787,1,12,1,OnlinePayment
225,410,304,3,12,5,OnInstallment
226,808,1306,4,12,3,CashOnDelivery
227,165,152,4,12,4,OnlinePayment
228,88,847,2,13,2,OnInstallment
229,711,243,2,13,5,CashOnDelivery
230,900,1371,3,14,2,OnlinePayment
231,512,787,2,14,5,OnInstallment
232,121,1438,2,15,2,CashOnDelivery
233,910,105,2,15,3,OnlinePayment
234,669,743,1,16,2,OnInstallment
235,696,801,3,16,4,CashOnDelivery
236,949,1452,3,17,2,OnlinePayment
237,792,337,3,17,4,OnInstallment
238,67,31,2,18,2,CashOnDelivery
239,690,980,1,19,2,OnlinePayment
240,217,1224,3,20,4,OnInstallment
241,888,1025,1,21,1,CashOnDelivery
242,33,646,4,22,5,OnlinePayment
243,116,843,2,23,4,OnInstallment
244,236,969,1,24,5,CashOnDelivery
245,544,1211,1,25,5,OnlinePayment
246,330,1003,3,26,3,OnInstallment
247,743,103,2,27,1,CashOnDelivery
248,366,1334,2,28,2,OnlinePayment
249,107,514,3,29,2,OnInstallment
250,683,956,1,30,3,CashOnDelivery
251,314,1486,4,31,4,OnlinePayment
252,460,1022,4,32,5,OnInstallment
253,848,432,4,33,2,CashOnDelivery
254,150,101,1,34,3,OnlinePayment
255,889,595,4,35,3,OnInstallment
256,57,1204,4,36,2,CashOnDelivery
257,214,1430,2,37,3,OnlinePayment
258,108,1060,2,38,4,OnInstallment
259,683,988,3,39,1,CashOnDelivery
260,406,1392,2,40,3,OnlinePayment
261,295,1060,3,41,2,OnInstallment
262,774,829,1,42,4,CashOnDelivery
263,111,61,1,43,2,OnlinePayment
264,343,1349,1,44,3,OnInstallment
265,974,109,1,45,5,CashOnDelivery
266,403,1053,3,46,5,OnlinePayment
267,103,522,3,47,5,OnInstallment
268,475,194,4,48,1,CashOnDelivery
269,498,921,1,49,2,OnlinePayment
270,953,1224,4,50,4,OnInstallment
271,826,491,1,51,2,CashOnDelivery
272,39,495,3,52,5,OnlinePayment
273,938,762,3,53,2,OnInstallment
274,206,613,3,54,2,CashOnDelivery
275,178,720,2,55,5,OnlinePayment
276,130,1438,2,56,5,OnInstallment
277,816,481,2,57,1,CashOnDelivery
278,468,143,2,58,1,OnlinePayment
279,2,481,3,59,2,OnInstallment
280,541,517,1,60,2,CashOnDelivery
281,685,1481,3,61,4,OnlinePayment
282,500,1056,3,62,1,OnInstallment
283,911,1155,2,63,4,CashOnDelivery
284,126,1158,3,63,1,OnlinePayment
285,844,1255,1,63,4,OnInstallment
286,668,16,2,63,2,CashOnDelivery
287,639,745,2,63,1,OnlinePayment
288,716,1033,3,63,4,OnInstallment
289,861,881,2,63,5,CashOnDelivery
290,330,594,2,63,2,OnlinePayment
291,607,21,1,63,2,OnInstallment
292,487,996,1,63,5,CashOnDelivery
293,991,115,4,63,3,OnlinePayment
294,885,978,4,63,5,OnInstallment
295,46,1345,2,63,2,CashOnDelivery
296,701,1137,1,63,2,OnlinePayment
297,587,49,2,63,3,OnInstallment
298,759,42,3,63,3,CashOnDelivery
299,700,1109,3,63,3,OnlinePayment
300,135,372,2,63,1,OnInstallment
301,952,245,2,63,1,CashOnDelivery
302,677,1094,2,63,3,OnlinePayment
303,676,1498,2,63,4,OnInstallment
304,396,858,3,63,2,CashOnDelivery
305,263,284,1,63,1,OnlinePayment
306,136,1050,2,63,1,OnInstallment
307,226,304,2,63,5,CashOnDelivery
308,151,1201,2,63,4,OnlinePayment
309,417,1,3,63,5,OnInstallment
310,348,343,3,63,4,CashOnDelivery
311,167,870,4,63,5,OnlinePayment
312,188,1338,2,63,5,OnInstallment
313,562,1207,2,63,5,CashOnDelivery
314,379,142,3,63,5,OnlinePayment
315,715,749,2,63,1,OnInstallment
316,327,709,3,63,4,CashOnDelivery
317,332,947,4,63,3,OnlinePayment
318,551,604,2,63,1,OnInstallment
319,622,509,1,63,3,CashOnDelivery
320,860,1469,2,63,3,OnlinePayment
321,522,947,4,63,4,OnInstallment
322,925,788,3,63,4,CashOnDelivery
323,378,1241,3,63,3,OnlinePayment
324,447,281,1,63,4,OnInstallment
325,710,244,4,63,3,CashOnDelivery
326,652,389,2,63,4,OnlinePayment
327,234,233,3,63,2,OnInstallment
328,391,284,3,63,1,CashOnDelivery
329,809,59,4,63,1,OnlinePayment
330,377,598,2,63,1,OnInstallment
331,655,637,2,63,2,CashOnDelivery
332,677,432,4,63,5,OnlinePayment
333,655,222,3,63,5,OnInstallment
334,978,825,3,63,5,CashOnDelivery
335,282,1204,2,63,5,OnlinePayment
336,341,868,2,63,2,OnInstallment
337,776,1105,3,63,3,CashOnDelivery
338,105,916,3,63,3,OnlinePayment
339,401,990,2,63,5,OnInstallment
340,67,1406,2,63,2,CashOnDelivery
341,931,879,2,63,1,OnlinePayment
342,199,319,3,63,4,OnInstallment
343,850,344,1,63,2,CashOnDelivery
344,771,327,4,63,1,OnlinePayment
345,296,982,2,63,2,OnInstallment
346,440,273,3,63,3,CashOnDelivery
347,686,114,1,63,4,OnlinePayment
348,957,1128,4,63,4,OnInstallment
349,276,532,2,63,1,CashOnDelivery
350,365,709,2,63,2,OnlinePayment
351,848,1184,3,63,3,OnInstallment
352,613,599,4,63,5,CashOnDelivery
353,554,61,4,63,3,OnlinePayment
354,25,676,4,63,2,OnInstallment
355,366,486,3,63,2,CashOnDelivery
356,910,1240,4,63,1,OnlinePayment
357,529,226,4,63,5,OnInstallment
358,796,115,2,63,3,CashOnDelivery
359,146,433,1,63,4,OnlinePayment
360,546,499,3,63,1,OnInstallment
361,86,518,1,63,4,CashOnDelivery
362,288,1034,3,63,5,OnlinePayment
363,936,1490,2,63,2,OnInstallment
364,703,497,1,63,3,CashOnDelivery
365,716,181,2,63,4,OnlinePayment
366,552,1042,4,63,1,OnInstallment
367,71,611,3,63,4,CashOnDelivery
368,330,285,2,63,3,OnlinePayment
369,416,1135,4,63,3,OnInstallment
370,300,91,4,63,3,CashOnDelivery
371,765,1230,2,63,4,OnlinePayment
372,507,24,4,63,2,OnInstallment
373,549,584,2,63,2,CashOnDelivery
374,796,75,2,63,4,OnlinePayment
375,989,690,1,63,3,OnInstallment
376,299,320,4,63,5,CashOnDelivery
377,936,1435,4,63,3,OnlinePayment
378,8,61,2,63,3,OnInstallment
379,855,954,2,63,5,CashOnDelivery
380,303,1438,3,63,4,OnlinePayment
381,269,1241,1,63,1,OnInstallment
382,989,587,2,63,2,CashOnDelivery
383,295,39,4,63,3,OnlinePayment
384,933,157,1,63,4,OnInstallment
385,563,930,3,63,3,CashOnDelivery
386,503,353,1,63,1,OnlinePayment
387,480,1000,2,63,1,OnInstallment
388,777,837,3,63,4,CashOnDelivery
389,309,33,3,63,1,OnlinePayment
390,560,1439,3,63,4,OnInstallment
391,885,340,1,63,4,CashOnDelivery
392,89,791,4,63,5,OnlinePayment
393,165,621,2,63,2,OnInstallment
394,627,350,4,63,3,CashOnDelivery
395,129,1196,1,63,3,OnlinePayment
396,170,867,1,63,3,OnInstallment
397,920,457,4,63,2,CashOnDelivery
398,936,1108,1,63,5,OnlinePayment
399,631,1117,1,63,1,OnInstallment
400,452,1496,3,63,5,CashOnDelivery
401,289,323,1,63,3,OnlinePayment
402,8,1484,1,63,1,OnInstallment
403,879,1348,2,63,4,CashOnDelivery
404,320,659,1,63,1,OnlinePayment
405,647,1132,4,63,3,OnInstallment
406,64,1061,1,63,4,CashOnDelivery
407,839,180,3,63,5,OnlinePayment
408,635,502,1,63,5,OnInstallment
409,134,801,1,63,5,CashOnDelivery
410,898,1049,1,63,1,OnlinePayment
411,642,1366,3,63,1,OnInstallment
412,166,163,3,63,3,CashOnDelivery
413,274,945,4,63,5,OnlinePayment
414,229,403,3,63,3,OnInstallment
415,747,203,1,63,2,CashOnDelivery
416,447,425,4,63,2,OnlinePayment
417,569,1343,3,63,3,OnInstallment
418,187,379,4,63,5,CashOnDelivery
419,599,186,4,63,5,OnlinePayment
420,880,1397,4,63,2,OnInstallment
421,176,163,1,63,2,CashOnDelivery
422,927,356,1,63,3,OnlinePayment
423,25,842,1,63,3,OnInstallment
424,858,679,3,63,1,CashOnDelivery
425,146,801,2,63,1,OnlinePayment
426,805,321,3,63,2,OnInstallment
427,23,381,1,63,1,CashOnDelivery
428,471,275,2,63,2,OnlinePayment
429,318,755,4,63,4,OnInstallment
430,192,720,1,63,1,CashOnDelivery
431,305,732,3,63,2,OnlinePayment
432,559,83,4,63,4,OnInstallment
433,631,767,3,63,1,CashOnDelivery
434,733,1076,2,63,4,OnlinePayment
435,122,224,1,63,3,OnInstallment
436,635,349,3,63,2,CashOnDelivery
437,179,898,2,63,5,OnlinePayment
438,565,340,3,63,3,OnInstallment
439,887,350,2,63,2,CashOnDelivery
440,482,1161,1,63,1,OnlinePayment
441,545,329,2,63,1,OnInstallment
442,520,1473,3,63,3,CashOnDelivery
443,692,766,2,63,3,OnlinePayment
444,543,1231,4,63,3,OnInstallment
445,847,410,2,63,2,CashOnDelivery
446,13,500,4,63,2,OnlinePayment
447,979,279,4,63,5,OnInstallment
448,345,170,3,63,5,CashOnDelivery
449,759,336,1,63,4,OnlinePayment
450,224,229,4,63,4,OnInstallment
451,76,629,4,63,4,CashOnDelivery
452,738,81,3,63,1,OnlinePayment
453,777,513,1,63,5,OnInstallment
454,910,129,4,63,5,CashOnDelivery
455,696,906,4,63,5,OnlinePayment
456,175,426,2,63,2,OnInstallment
457,727,980,2,63,4,CashOnDelivery
458,140,748,2,63,1,OnlinePayment
459,605,354,1,63,4,OnInstallment
460,275,1375,3,63,2,CashOnDelivery
461,880,454,2,63,1,OnlinePayment
462,336,1148,1,65,5,OnInstallment
463,184,494,2,65,3,CashOnDelivery
464,128,1254,4,65,4,OnlinePayment
465,80,1022,3,65,3,OnInstallment
466,842,1327,4,65,2,CashOnDelivery
467,311,750,4,65,2,OnlinePayment
468,649,247,1,65,1,OnInstallment
469,269,540,4,65,5,CashOnDelivery
470,324,419,4,65,3,OnlinePayment
471,14,428,1,65,2,OnInstallment
472,794,1176,2,65,5,CashOnDelivery
473,778,227,4,65,1,OnlinePayment
474,881,1111,3,65,2,OnInstallment
475,327,1068,2,65,4,CashOnDelivery
476,658,426,3,65,3,OnlinePayment
477,345,104,4,65,5,OnInstallment
478,716,1184,4,65,4,CashOnDelivery
479,387,506,2,65,2,OnlinePayment
480,492,1031,3,65,5,OnInstallment
481,839,892,2,65,1,CashOnDelivery
482,86,287,3,65,3,OnlinePayment
483,245,367,2,65,5,OnInstallment
484,8,865,3,65,1,CashOnDelivery
485,874,553,1,65,1,OnlinePayment
486,297,760,3,65,1,OnInstallment
487,361,311,3,65,1,CashOnDelivery
488,301,1241,1,65,3,OnlinePayment
489,845,914,3,65,2,OnInstallment
490,316,113,4,66,5,CashOnDelivery
491,568,375,3,66,1,OnlinePayment
492,942,885,1,66,1,OnInstallment
493,321,963,3,66,3,CashOnDelivery
494,132,761,4,66,5,OnlinePayment
495,760,1312,1,66,3,OnInstallment
496,248,167,4,66,2,CashOnDelivery
497,359,1107,4,66,3,OnlinePayment
498,3,1104,4,66,5,OnInstallment
499,227,1111,4,66,4,CashOnDelivery
500,866,1286,4,66,2,OnlinePayment
501,243,1470,4,66,1,OnInstallment
502,518,464,2,67,3,CashOnDelivery
503,332,1036,3,67,5,OnlinePayment
504,306,1286,3,67,2,OnInstallment
505,133,1217,1,67,1,CashOnDelivery
506,316,713,4,67,5,OnlinePayment
507,430,329,4,67,5,OnInstallment
508,936,395,1,67,1,CashOnDelivery
509,828,1368,4,67,4,OnlinePayment
510,205,199,2,67,5,OnInstallment
511,202,1449,1,67,5,CashOnDelivery
512,620,1360,2,67,4,OnlinePayment
513,127,1151,4,67,3,OnInstallment
514,231,1115,4,67,4,CashOnDelivery
515,19,387,3,67,2,OnlinePayment
516,727,235,1,67,3,OnInstallment
517,519,1316,1,67,3,CashOnDelivery
518,712,132,4,68,2,OnlinePayment
519,939,1223,1,68,2,OnInstallment
520,431,700,2,68,2,CashOnDelivery
521,150,822,4,68,4,OnlinePayment
522,595,663,2,68,1,OnInstallment
523,90,1440,3,68,3,CashOnDelivery
524,537,12,2,68,5,OnlinePayment
525,288,1110,4,68,2,OnInstallment
526,486,435,4,68,1,CashOnDelivery
527,972,1318,3,68,1,OnlinePayment
528,650,1403,4,68,3,OnInstallment
529,318,746,2,69,1,CashOnDelivery
530,689,22,4,69,2,OnlinePayment
531,587,281,3,69,2,OnInstallment
532,223,816,3,69,3,CashOnDelivery
533,673,1047,4,69,1,OnlinePayment
534,762,924,3,69,3,OnInstallment
535,82,495,1,69,5,CashOnDelivery
536,207,1261,3,69,4,OnlinePayment
537,781,1219,2,69,4,OnInstallment
538,876,1265,2,69,5,CashOnDelivery
539,61,615,1,69,2,OnlinePayment
540,660,1111,2,69,4,OnInstallment
541,549,724,1,69,1,CashOnDelivery
542,272,1096,4,69,5,OnlinePayment
543,442,1289,2,70,5,OnInstallment
544,760,220,4,70,1,CashOnDelivery
545,684,788,4,70,3,OnlinePayment
546,509,757,1,70,2,OnInstallment
547,679,885,3,70,2,CashOnDelivery
548,138,1367,4,70,5,OnlinePayment
549,689,457,1,70,1,OnInstallment
550,350,843,2,70,1,CashOnDelivery
551,634,282,4,70,4,OnlinePayment
552,476,1046,4,70,2,OnInstallment
553,874,976,4,70,4,CashOnDelivery
554,919,940,4,70,2,OnlinePayment
555,39,342,3,70,1,OnInstallment
556,229,389,4,70,1,CashOnDelivery
557,482,1068,3,70,2,OnlinePayment
558,290,333,3,70,4,OnInstallment
559,381,679,2,70,3,CashOnDelivery
560,101,1149,2,70,2,OnlinePayment
561,449,1265,4,70,4,OnInstallment
562,463,1317,2,70,3,CashOnDelivery
563,143,736,3,70,5,OnlinePayment
564,768,1444,3,70,3,OnInstallment
565,996,327,2,70,3,CashOnDelivery
566,735,1195,1,70,2,OnlinePayment
567,542,49,2,70,1,OnInstallment
568,15,1187,2,70,3,CashOnDelivery
569,157,396,4,70,5,OnlinePayment
570,625,958,3,70,4,OnInstallment
571,858,330,1,70,2,CashOnDelivery
572,210,395,4,70,4,OnlinePayment
573,727,1122,3,70,2,OnInstallment
574,97,959,2,70,1,CashOnDelivery
575,502,89,2,70,5,OnlinePayment
576,470,1115,3,70,2,OnInstallment
577,135,1490,4,70,3,CashOnDelivery
578,436,724,1,70,3,OnlinePayment
579,383,567,1,70,4,OnInstallment
580,726,983,3,70,3,CashOnDelivery
581,718,257,2,70,4,OnlinePayment
582,655,513,2,70,4,OnInstallment
583,4,1210,3,70,1,CashOnDelivery
584,710,1268,2,70,5,OnlinePayment
585,619,802,2,70,2,OnInstallment
586,503,1302,4,70,5,CashOnDelivery
587,602,1369,2,70,2,OnlinePayment
588,271,794,3,70,5,OnInstallment
589,976,1274,1,71,1,CashOnDelivery
590,316,998,4,71,2,OnlinePayment
591,233,1110,4,71,3,OnInstallment
592,592,776,3,71,5,CashOnDelivery
593,970,585,2,71,1,OnlinePayment
594,746,809,3,71,2,OnInstallment
595,557,1398,3,71,1,CashOnDelivery
596,761,498,3,71,5,OnlinePayment
597,763,997,1,71,3,OnInstallment
598,997,1113,1,71,3,CashOnDelivery
599,390,1349,4,71,4,OnlinePayment
600,622,1424,2,71,1,OnInstallment
601,352,445,1,72,4,CashOnDelivery
602,262,389,1,72,5,OnlinePayment
603,7,234,1,72,1,OnInstallment
604,193,803,3,72,4,CashOnDelivery
605,675,1100,3,72,1,OnlinePayment
606,583,230,1,72,2,OnInstallment
607,91,453,4,72,2,CashOnDelivery
608,582,250,3,72,2,OnlinePayment
609,598,1215,4,72,1,OnInstallment
610,823,790,3,72,5,CashOnDelivery
611,259,568,1,72,2,OnlinePayment
612,605,108,1,72,1,OnInstallment
613,781,288,3,73,1,CashOnDelivery
614,800,1070,1,73,3,OnlinePayment
615,633,1334,2,73,1,OnInstallment
616,973,918,2,73,3,CashOnDelivery
617,474,85,2,73,4,OnlinePayment
618,211,520,3,73,1,OnInstallment
619,58,932,2,73,5,CashOnDelivery
620,189,520,4,73,1,OnlinePayment
621,773,29,3,73,1,OnInstallment
622,36,1402,1,73,5,CashOnDelivery
623,680,1160,4,73,4,OnlinePayment
624,783,246,2,73,5,OnInstallment
625,664,1227,2,73,1,CashOnDelivery
626,455,575,1,73,2,OnlinePayment
627,277,105,4,74,4,OnInstallment
628,817,212,3,74,4,CashOnDelivery
629,559,293,1,74,1,OnlinePayment
630,517,1207,1,74,2,OnInstallment
631,2,781,1,74,1,CashOnDelivery
632,664,604,4,74,1,OnlinePayment
633,798,1050,1,74,5,OnInstallment
634,132,1000,3,74,1,CashOnDelivery
635,90,293,1,74,3,OnlinePayment
636,283,714,3,74,2,OnInstallment
637,294,93,4,74,3,CashOnDelivery
638,960,491,3,74,4,OnlinePayment
639,85,13,4,74,5,OnInstallment
640,424,382,1,74,3,CashOnDelivery
641,872,1194,3,74,5,OnlinePayment
642,132,943,1,74,1,OnInstallment
643,801,1456,3,74,1,CashOnDelivery
644,731,81,4,74,5,OnlinePayment
645,650,618,4,74,5,OnInstallment
646,546,751,4,74,5,CashOnDelivery
647,740,1413,4,74,5,OnlinePayment
648,923,387,4,74,1,OnInstallment
649,853,313,1,74,4,CashOnDelivery
650,366,30,3,74,2,OnlinePayment
651,5,135,3,74,5,OnInstallment
652,927,1241,1,74,1,CashOnDelivery
653,461,543,1,74,4,OnlinePayment
654,212,1476,3,74,1,OnInstallment
655,228,1335,4,74,3,CashOnDelivery
656,112,680,1,74,3,OnlinePayment
657,101,937,3,74,1,OnInstallment
658,354,309,4,74,3,CashOnDelivery
659,866,684,1,74,4,OnlinePayment
660,685,1392,2,74,5,OnInstallment
661,332,313,4,74,5,CashOnDelivery
662,483,448,3,74,5,OnlinePayment
663,789,84,4,74,2,OnInstallment
664,857,1189,3,74,5,CashOnDelivery
665,676,95,3,74,3,OnlinePayment
666,221,725,3,74,5,OnInstallment
667,37,629,4,74,5,CashOnDelivery
668,580,1040,1,74,4,OnlinePayment
669,168,1265,2,74,2,OnInstallment
670,602,696,1,74,2,CashOnDelivery
671,355,399,4,74,1,OnlinePayment
672,397,35,2,74,3,OnInstallment
673,684,850,2,74,3,CashOnDelivery
674,18,384,3,74,4,OnlinePayment
675,864,1070,4,74,3,OnInstallment
676,854,446,3,74,1,CashOnDelivery
677,892,1094,2,74,2,OnlinePayment
678,650,1446,2,74,4,OnInstallment
679,634,516,1,74,1,CashOnDelivery
680,278,507,3,74,4,OnlinePayment
681,727,781,2,74,2,OnInstallment
682,710,312,3,74,4,CashOnDelivery
683,862,1021,1,74,2,OnlinePayment
684,145,1066,2,74,3,OnInstallment
685,855,402,1,74,1,CashOnDelivery
686,721,961,3,75,2,OnlinePayment
