delivery id,order id,shop id,delivery reserved days,,order_shipVia
262,262,66,3,,bike
263,263,128,4,,Van
264,264,163,4,,Rickshaw
265,265,65,3,,bike
266,266,275,5,,Van
267,267,43,5,,Rickshaw
268,268,72,4,,bike
269,269,232,3,,Van
270,270,107,3,,Rickshaw
271,271,293,5,,bike
272,272,87,5,,Van
273,273,232,4,,Rickshaw
274,274,58,3,,bike
275,275,218,5,,Van
276,276,244,5,,Rickshaw
277,277,158,5,,bike
278,278,264,3,,Van
279,279,261,5,,Rickshaw
280,280,136,5,,bike
281,281,31,4,,Van
282,282,281,5,,Rickshaw
283,283,275,4,,bike
284,284,145,4,,Van
285,285,133,4,,Rickshaw
286,286,11,3,,bike
287,287,32,5,,Van
288,288,66,5,,Rickshaw
289,289,235,4,,bike
290,290,113,3,,Van
291,291,144,3,,Rickshaw
292,292,236,4,,bike
293,293,194,4,,Van
294,294,24,5,,Rickshaw
295,295,189,4,,bike
296,296,171,3,,Van
297,297,290,5,,Rickshaw
298,298,243,3,,bike
299,299,224,3,,Van
300,300,204,3,,Rickshaw
301,301,298,3,,bike
302,302,78,5,,Van
303,303,250,3,,Rickshaw
304,304,269,3,,bike
305,305,179,5,,Van
306,306,269,4,,Rickshaw
307,307,68,3,,bike
308,308,199,5,,Van
309,309,242,3,,Rickshaw
310,310,231,3,,bike
311,311,274,5,,Van
312,312,80,5,,Rickshaw
313,313,221,5,,bike
314,314,76,5,,Van
315,315,48,4,,Rickshaw
316,316,13,5,,bike
317,317,2,4,,Van
318,318,264,4,,Rickshaw
319,319,256,3,,bike
320,320,26,4,,Van
321,321,220,3,,Rickshaw
322,322,224,4,,bike
323,323,157,3,,Van
324,324,27,5,,Rickshaw
325,325,22,5,,bike
326,326,169,4,,Van
327,327,183,5,,Rickshaw
328,328,13,5,,bike
329,329,200,5,,Van
330,330,242,5,,Rickshaw
331,331,82,3,,bike
332,332,54,4,,Van
333,333,67,3,,Rickshaw
334,334,83,3,,bike
335,335,295,5,,Van
336,336,77,4,,Rickshaw
337,337,82,4,,bike
338,338,192,3,,Van
339,339,79,4,,Rickshaw
340,340,280,4,,bike
341,341,70,3,,Van
342,342,246,4,,Rickshaw
343,343,40,5,,bike
344,344,202,3,,Van
345,345,226,4,,Rickshaw
346,346,256,3,,bike
347,347,145,4,,Van
348,348,142,5,,Rickshaw
349,349,55,3,,bike
350,350,107,5,,Van
351,351,278,5,,Rickshaw
352,352,66,5,,bike
353,353,258,4,,Van
354,354,265,5,,Rickshaw
355,355,299,4,,bike
356,356,191,3,,Van
357,357,74,5,,Rickshaw
358,358,76,5,,bike
359,359,25,5,,Van
360,360,295,5,,Rickshaw
361,361,196,5,,bike
362,362,239,4,,Van
363,363,16,3,,Rickshaw
364,364,197,4,,bike
365,365,29,4,,Van
366,366,276,3,,Rickshaw
367,367,229,5,,bike
368,368,42,4,,Van
369,369,200,5,,Rickshaw
370,370,140,4,,bike
371,371,63,4,,Van
372,372,1,4,,Rickshaw
373,373,183,5,,bike
374,374,239,5,,Van
375,375,131,4,,Rickshaw
376,376,219,3,,bike
377,377,32,3,,Van
378,378,143,4,,Rickshaw
379,379,92,3,,bike
380,380,206,3,,Van
381,381,62,3,,Rickshaw
382,382,43,5,,bike
383,383,252,3,,Van
384,384,22,4,,Rickshaw
385,385,205,3,,bike
386,386,96,3,,Van
387,387,18,4,,Rickshaw
388,388,93,3,,bike
389,389,229,5,,Van
390,390,37,5,,Rickshaw
391,391,72,5,,bike
392,392,140,3,,Van
393,393,141,5,,Rickshaw
394,394,248,4,,bike
395,395,172,3,,Van
396,396,146,4,,Rickshaw
397,397,277,3,,bike
398,398,176,5,,Van
399,399,150,5,,Rickshaw
400,400,71,5,,bike
401,401,37,3,,Van
402,402,292,3,,Rickshaw
403,403,109,3,,bike
404,404,145,4,,Van
405,405,274,5,,Rickshaw
406,406,201,3,,bike
407,407,272,3,,Van
408,408,243,5,,Rickshaw
409,409,289,3,,bike
410,410,205,5,,Van
411,411,189,4,,Rickshaw
412,412,77,5,,bike
413,413,202,3,,Van
414,414,33,5,,Rickshaw
415,415,201,5,,bike
416,416,94,3,,Van
417,417,97,5,,Rickshaw
418,418,17,4,,bike
419,419,134,3,,Van
420,420,269,4,,Rickshaw
421,421,272,3,,bike
422,422,173,4,,Van
423,423,197,5,,Rickshaw
424,424,208,3,,bike
425,425,260,3,,Van
426,426,71,3,,Rickshaw
427,427,136,4,,bike
428,428,299,5,,Van
429,429,4,4,,Rickshaw
430,430,260,5,,bike
431,431,214,4,,Van
432,432,276,3,,Rickshaw
433,433,276,3,,bike
434,434,265,3,,Van
435,435,45,3,,Rickshaw
436,436,285,4,,bike
437,437,196,4,,Van
438,438,51,3,,Rickshaw
439,439,222,4,,bike
440,440,139,3,,Van
441,441,273,5,,Rickshaw
442,442,258,3,,bike
443,443,25,3,,Van
444,444,120,5,,Rickshaw
445,445,71,4,,bike
446,446,289,3,,Van
447,447,135,4,,Rickshaw
448,448,169,3,,bike
449,449,150,5,,Van
450,450,252,5,,Rickshaw
451,451,284,3,,bike
452,452,141,3,,Van
453,453,146,5,,Rickshaw
454,454,103,4,,bike
455,455,163,5,,Van
456,456,7,5,,Rickshaw
457,457,214,5,,bike
458,458,91,3,,Van
459,459,261,4,,Rickshaw
460,460,150,3,,bike
461,461,194,5,,Van
462,462,92,4,,Rickshaw
463,463,49,5,,bike
464,464,166,4,,Van
465,465,163,3,,Rickshaw
466,466,65,4,,bike
467,467,300,5,,Van
468,468,4,4,,Rickshaw
469,469,104,3,,bike
470,470,76,4,,Van
471,471,259,5,,Rickshaw
472,472,203,5,,bike
473,473,2,4,,Van
474,474,112,3,,Rickshaw
475,475,110,3,,bike
476,476,300,3,,Van
477,477,67,4,,Rickshaw
478,478,7,3,,bike
479,479,195,4,,Van
480,480,32,5,,Rickshaw
481,481,88,5,,bike
482,482,186,3,,Van
483,483,214,4,,Rickshaw
484,484,42,4,,bike
485,485,102,3,,Van
486,486,17,4,,Rickshaw
487,487,113,5,,bike
488,488,26,5,,Van
489,489,285,4,,Rickshaw
490,490,197,4,,bike
491,491,177,3,,Van
492,492,34,3,,Rickshaw
493,493,100,4,,bike
494,494,179,3,,Van
495,495,225,5,,Rickshaw
496,496,183,3,,bike
497,497,6,5,,Van
498,498,296,3,,Rickshaw
499,499,169,3,,bike
500,500,82,3,,Van
501,501,112,3,,Rickshaw
502,502,190,3,,bike
503,503,260,3,,Van
504,504,97,5,,Rickshaw
505,505,131,5,,bike
506,506,129,4,,Van
507,507,71,4,,Rickshaw
508,508,213,3,,bike
509,509,246,4,,Van
510,510,177,5,,Rickshaw
511,511,205,4,,bike
512,512,67,4,,Van
513,513,39,5,,Rickshaw
514,514,233,5,,bike
515,515,128,5,,Van
516,516,245,5,,Rickshaw
517,517,74,5,,bike
518,518,263,4,,Van
519,519,253,5,,Rickshaw
520,520,130,3,,bike
521,521,120,4,,Van
522,522,135,5,,Rickshaw
523,523,19,4,,bike
524,524,256,4,,Van
525,525,128,4,,Rickshaw
526,526,222,3,,bike
527,527,123,5,,Van
528,528,65,5,,Rickshaw
529,529,38,3,,bike
530,530,79,5,,Van
531,531,76,5,,Rickshaw
532,532,104,5,,bike
533,533,241,4,,Van
534,534,159,5,,Rickshaw
535,535,169,5,,bike
536,536,119,3,,Van
537,537,262,4,,Rickshaw
538,538,225,5,,bike
539,539,17,3,,Van
540,540,255,3,,Rickshaw
541,541,51,3,,bike
542,542,257,4,,Van
543,543,111,5,,Rickshaw
544,544,241,5,,bike
545,545,258,3,,Van
546,546,257,5,,Rickshaw
547,547,248,4,,bike
548,548,248,3,,Van
549,549,25,3,,Rickshaw
550,550,126,5,,bike
551,551,68,4,,Van
552,552,281,4,,Rickshaw
553,553,146,4,,bike
554,554,256,5,,Van
555,555,288,4,,Rickshaw
556,556,150,3,,bike
557,557,214,5,,Van
558,558,85,4,,Rickshaw
559,559,56,3,,bike
560,560,298,3,,Van
561,561,288,5,,Rickshaw
562,562,5,4,,bike
563,563,27,3,,Van
564,564,258,5,,Rickshaw
565,565,128,3,,bike
566,566,152,3,,Van
567,567,24,4,,Rickshaw
568,568,219,3,,bike
569,569,118,5,,Van
570,570,265,5,,Rickshaw
571,571,229,3,,bike
572,572,216,4,,Van
573,573,274,3,,Rickshaw
574,574,113,3,,bike
575,575,217,3,,Van
576,576,277,5,,Rickshaw
577,577,266,4,,bike
578,578,289,3,,Van
579,579,1,4,,Rickshaw
580,580,230,3,,bike
581,581,32,5,,Van
582,582,114,4,,Rickshaw
583,583,298,5,,bike
584,584,88,3,,Van
585,585,232,3,,Rickshaw
586,586,154,3,,bike
587,587,114,3,,Van
588,588,185,3,,Rickshaw
589,589,86,3,,bike
590,590,210,3,,Van
591,591,236,5,,Rickshaw
592,592,292,3,,bike
593,593,88,5,,Van
594,594,202,4,,Rickshaw
595,595,237,3,,bike
596,596,246,4,,Van
597,597,191,3,,Rickshaw
598,598,253,3,,bike
599,599,172,4,,Van
600,600,93,3,,Rickshaw
601,601,291,4,,bike
602,602,149,5,,Van
603,603,184,3,,Rickshaw
604,604,244,3,,bike
605,605,164,4,,Van
606,606,113,4,,Rickshaw
607,607,139,4,,bike
608,608,54,5,,Van
609,609,229,3,,Rickshaw
610,610,204,4,,bike
611,611,172,5,,Van
612,612,52,4,,Rickshaw
613,613,31,4,,bike
614,614,130,4,,Van
615,615,47,4,,Rickshaw
616,616,221,4,,bike
617,617,236,5,,Van
618,618,228,4,,Rickshaw
619,619,138,3,,bike
620,620,230,5,,Van
621,621,51,5,,Rickshaw
622,622,103,4,,bike
623,623,102,4,,Van
624,624,158,3,,Rickshaw
625,625,56,4,,bike
626,626,165,4,,Van
627,627,247,3,,Rickshaw
628,628,1,4,,bike
629,629,85,3,,Van
630,630,223,5,,Rickshaw
631,631,172,4,,bike
632,632,87,3,,Van
633,633,97,3,,Rickshaw
634,634,300,3,,bike
635,635,168,4,,Van
636,636,87,4,,Rickshaw
637,637,230,5,,bike
638,638,242,4,,Van
639,639,84,4,,Rickshaw
640,640,237,4,,bike
641,641,126,3,,Van
642,642,17,5,,Rickshaw
643,643,279,3,,bike
644,644,57,5,,Van
645,645,27,3,,Rickshaw
646,646,234,4,,bike
647,647,50,5,,Van
648,648,205,5,,Rickshaw
649,649,233,4,,bike
650,650,287,3,,Van
651,651,186,5,,Rickshaw
652,652,223,4,,bike
653,653,48,5,,Van
654,654,21,4,,Rickshaw
655,655,184,4,,bike
656,656,189,3,,Van
657,657,78,3,,Rickshaw
658,658,272,4,,bike
659,659,23,5,,Van
660,660,284,4,,Rickshaw
661,661,203,4,,bike
662,662,183,4,,Van
663,663,100,4,,Rickshaw
664,664,87,4,,bike
665,665,140,5,,Van
666,666,265,3,,Rickshaw
667,667,65,5,,bike
668,668,271,3,,Van
669,669,188,4,,Rickshaw
670,670,297,5,,bike
671,671,216,5,,Van
672,672,298,4,,Rickshaw
673,673,156,4,,bike
674,674,299,5,,Van
675,675,6,3,,Rickshaw
676,676,291,4,,bike
677,677,262,4,,Van
678,678,16,3,,Rickshaw
679,679,81,4,,bike
680,680,129,4,,Van
681,681,147,3,,Rickshaw
682,682,58,5,,bike
683,683,217,4,,Van
684,684,267,3,,Rickshaw
685,685,175,5,,bike
686,686,56,4,,Van
687,687,232,5,,Rickshaw
688,688,251,4,,bike
689,689,98,3,,Van
690,690,70,3,,Rickshaw
691,691,65,5,,bike
692,692,117,5,,Van
693,693,233,4,,Rickshaw
694,694,62,3,,bike
695,695,236,3,,Van
696,696,79,4,,Rickshaw
697,697,158,3,,bike
698,698,98,3,,Van
699,699,102,3,,Rickshaw
700,700,84,3,,bike
701,701,1,5,,Van
702,702,296,3,,Rickshaw
703,703,161,3,,bike
704,704,89,4,,Van
705,705,143,3,,Rickshaw
706,706,20,3,,bike
707,707,291,5,,Van
708,708,149,4,,Rickshaw
709,709,108,4,,bike
710,710,217,4,,Van
711,711,226,3,,Rickshaw
712,712,144,4,,bike
713,713,292,5,,Van
714,714,108,5,,Rickshaw
715,715,50,4,,bike
716,716,242,3,,Van
717,717,146,3,,Rickshaw
718,718,179,3,,bike
719,719,294,3,,Van
720,720,285,5,,Rickshaw
721,721,13,5,,bike
722,722,291,4,,Van
723,723,120,4,,Rickshaw
724,724,197,5,,bike
725,725,265,5,,Van
726,726,126,4,,Rickshaw
727,727,221,3,,bike
728,728,217,4,,Van
729,729,280,5,,Rickshaw
730,730,232,4,,bike
731,731,27,3,,Van
732,732,61,3,,Rickshaw
733,733,138,3,,bike
734,734,230,5,,Van
735,735,208,5,,Rickshaw
736,736,168,4,,bike
737,737,123,5,,Van
738,738,2,5,,Rickshaw
739,739,103,4,,bike
740,740,47,3,,Van
741,741,181,4,,Rickshaw
742,742,48,4,,bike
743,743,175,4,,Van
744,744,30,3,,Rickshaw
745,745,95,3,,bike
746,746,8,5,,Van
747,747,231,3,,Rickshaw
748,748,28,4,,bike
749,749,134,4,,Van
750,750,31,5,,Rickshaw
751,751,68,5,,bike
752,752,194,5,,Van
753,753,60,3,,Rickshaw
754,754,114,5,,bike
755,755,26,4,,Van
756,756,287,3,,Rickshaw
757,757,264,4,,bike
758,758,158,4,,Van
759,759,106,4,,Rickshaw
760,760,102,4,,bike
761,761,28,5,,Van
762,762,259,3,,Rickshaw
763,763,290,5,,bike
764,764,87,4,,Van
765,765,273,3,,Rickshaw
766,766,149,4,,bike
767,767,141,3,,Van
768,768,189,4,,Rickshaw
769,769,200,3,,bike
770,770,103,4,,Van
771,771,164,4,,Rickshaw
772,772,76,3,,bike
773,773,297,5,,Van
774,774,261,3,,Rickshaw
775,775,266,5,,bike
776,776,115,3,,Van
777,777,68,3,,Rickshaw
778,778,165,5,,bike
779,779,53,4,,Van
780,780,163,3,,Rickshaw
781,781,263,5,,bike
782,782,170,4,,Van
783,783,77,5,,Rickshaw
784,784,196,5,,bike
785,785,256,5,,Van
786,786,232,4,,Rickshaw
787,787,201,5,,bike
788,788,70,4,,Van
789,789,175,5,,Rickshaw
790,790,245,4,,bike
791,791,223,4,,Van
792,792,33,4,,Rickshaw
793,793,40,5,,bike
794,794,145,3,,Van
795,795,152,5,,Rickshaw
796,796,36,5,,bike
797,797,204,5,,Van
798,798,80,3,,Rickshaw
799,799,54,5,,bike
800,800,253,3,,Van
801,801,254,3,,Rickshaw
802,802,189,3,,bike
803,803,156,4,,Van
804,804,28,3,,Rickshaw
805,805,99,3,,bike
806,806,243,4,,Van
807,807,135,5,,Rickshaw
808,808,95,3,,bike
809,809,56,3,,Van
810,810,45,4,,Rickshaw
811,811,135,3,,bike
812,812,38,5,,Van
813,813,216,5,,Rickshaw
814,814,219,5,,bike
815,815,255,3,,Van
816,816,196,4,,Rickshaw
817,817,85,3,,bike
818,818,173,5,,Van
819,819,164,3,,Rickshaw
820,820,289,5,,bike
821,821,3,5,,Van
822,822,96,5,,Rickshaw
823,823,151,3,,bike
824,824,202,3,,Van
825,825,102,5,,Rickshaw
826,826,63,5,,bike
827,827,105,4,,Van
828,828,182,3,,Rickshaw
829,829,140,5,,bike
830,830,51,4,,Van
831,831,250,5,,Rickshaw
832,832,143,4,,bike
833,833,81,3,,Van
834,834,200,4,,Rickshaw
835,835,246,5,,bike
836,836,253,3,,Van
837,837,103,5,,Rickshaw
838,838,86,4,,bike
839,839,50,4,,Van
840,840,170,3,,Rickshaw
841,841,27,5,,bike
842,842,213,5,,Van
843,843,178,3,,Rickshaw
844,844,25,4,,bike
845,845,130,3,,Van
846,846,30,3,,Rickshaw
847,847,197,5,,bike
848,848,33,3,,Van
849,849,106,4,,Rickshaw
850,850,247,3,,bike
851,851,157,3,,Van
852,852,157,4,,Rickshaw
853,853,50,4,,bike
854,854,238,4,,Van
855,855,140,3,,Rickshaw
856,856,94,3,,bike
857,857,23,3,,Van
858,858,238,5,,Rickshaw
859,859,14,4,,bike
860,860,191,4,,Van
861,861,91,4,,Rickshaw
862,862,96,5,,bike
863,863,95,5,,Van
864,864,292,4,,Rickshaw
865,865,7,5,,bike
866,866,30,5,,Van
867,867,147,3,,Rickshaw
868,868,14,3,,bike
869,869,6,4,,Van
870,870,76,3,,Rickshaw
871,871,99,3,,bike
872,872,190,5,,Van
873,873,256,4,,Rickshaw
874,874,70,5,,bike
875,875,13,4,,Van
876,876,168,4,,Rickshaw
877,877,17,4,,bike
878,878,239,5,,Van
879,879,251,4,,Rickshaw
880,880,81,4,,bike
881,881,96,4,,Van
882,882,74,5,,Rickshaw
883,883,250,5,,bike
884,884,214,4,,Van
885,885,172,4,,Rickshaw
886,886,249,3,,bike
887,887,20,5,,Van
888,888,258,3,,Rickshaw
889,889,219,4,,bike
890,890,61,5,,Van
891,891,82,5,,Rickshaw
892,892,118,3,,bike
893,893,113,5,,Van
894,894,226,5,,Rickshaw
895,895,239,4,,bike
896,896,147,5,,Van
897,897,71,5,,Rickshaw
898,898,212,4,,bike
899,899,157,3,,Van
900,900,216,5,,Rickshaw
901,901,37,5,,bike
902,902,224,4,,Van
903,903,197,4,,Rickshaw
904,904,179,5,,bike
905,905,88,4,,Van
906,906,183,5,,Rickshaw
907,907,38,5,,bike
908,908,87,5,,Van
909,909,212,5,,Rickshaw
910,910,63,5,,bike
911,911,162,4,,Van
912,912,12,3,,Rickshaw
913,913,163,4,,bike
914,914,132,3,,Van
915,915,28,4,,Rickshaw
916,916,113,5,,bike
917,917,188,5,,Van
918,918,82,3,,Rickshaw
919,919,277,4,,bike
920,920,163,5,,Van
921,921,23,3,,Rickshaw
922,922,233,4,,bike
923,923,198,3,,Van
924,924,231,4,,Rickshaw
925,925,297,3,,bike
926,926,45,3,,Van
927,927,275,4,,Rickshaw
928,928,216,5,,bike
929,929,264,4,,Van
930,930,260,4,,Rickshaw
931,931,224,5,,bike
932,932,216,3,,Van
933,933,148,3,,Rickshaw
934,934,139,4,,bike
935,935,214,3,,Van
936,936,124,5,,Rickshaw
937,937,71,5,,bike
938,938,106,4,,Van
939,939,141,5,,Rickshaw
940,940,155,3,,bike
941,941,195,4,,Van
942,942,197,5,,Rickshaw
943,943,70,4,,bike
944,944,24,3,,Van
945,945,148,5,,Rickshaw
946,946,248,4,,bike
947,947,127,3,,Van
948,948,147,4,,Rickshaw
949,949,87,3,,bike
950,950,295,4,,Van
951,951,247,5,,Rickshaw
952,952,268,4,,bike
953,953,12,3,,Van
954,954,150,3,,Rickshaw
955,955,71,4,,bike
956,956,11,5,,Van
957,957,263,4,,Rickshaw
958,958,160,5,,bike
959,959,88,4,,Van
960,960,2,4,,Rickshaw
961,961,172,4,,bike
962,962,197,5,,Van
963,963,185,3,,Rickshaw
964,964,161,3,,bike
965,965,216,4,,Van
966,966,296,5,,Rickshaw
967,967,51,3,,bike
968,968,28,4,,Van
969,969,93,3,,Rickshaw
970,970,59,4,,bike
971,971,108,3,,Van
972,972,223,5,,Rickshaw
973,973,286,5,,bike
974,974,66,5,,Van
975,975,170,5,,Rickshaw
976,976,75,4,,bike
977,977,292,3,,Van
978,978,214,5,,Rickshaw
979,979,4,4,,bike
980,980,222,3,,Van
981,981,20,4,,Rickshaw
982,982,254,3,,bike
983,983,222,3,,Van
984,984,163,5,,Rickshaw
985,985,41,5,,bike
986,986,107,3,,Van
987,987,211,3,,Rickshaw
988,988,124,5,,bike
989,989,167,5,,Van
990,990,201,4,,Rickshaw
991,991,15,5,,bike
992,992,294,4,,Van
993,993,297,3,,Rickshaw
994,994,101,3,,bike
995,995,256,5,,Van
996,996,220,4,,Rickshaw
997,997,20,3,,bike
998,998,69,3,,Van
999,999,156,3,,Rickshaw
1000,1000,30,5,,bike
1001,1001,132,3,,Van
1002,1002,68,3,,Rickshaw
1003,1003,293,3,,bike
1004,1004,99,5,,Van
1005,1005,256,5,,Rickshaw
1006,1006,181,4,,bike
1007,1007,294,4,,Van
1008,1008,108,3,,Rickshaw
1009,1009,138,4,,bike
1010,1010,58,5,,Van
1011,1011,137,4,,Rickshaw
1012,1012,287,4,,bike
1013,1013,216,5,,Van
1014,1014,204,5,,Rickshaw
1015,1015,104,5,,bike
1016,1016,43,5,,Van
1017,1017,50,5,,Rickshaw
1018,1018,157,4,,bike
1019,1019,185,5,,Van
1020,1020,31,3,,Rickshaw
1021,1021,198,4,,bike
1022,1022,188,5,,Van
1023,1023,203,4,,Rickshaw
1024,1024,293,4,,bike
1025,1025,222,4,,Van
1026,1026,45,3,,Rickshaw
1027,1027,263,5,,bike
1028,1028,203,5,,Van
1029,1029,68,3,,Rickshaw
1030,1030,159,5,,bike
1031,1031,14,5,,Van
1032,1032,58,5,,Rickshaw
1033,1033,72,4,,bike
1034,1034,233,5,,Van
1035,1035,149,5,,Rickshaw
1036,1036,279,3,,bike
1037,1037,270,4,,Van
1038,1038,268,5,,Rickshaw
1039,1039,184,3,,bike
